Date,Sample,Daily_Mass_Loss_g,Cumulative_Mass_Loss_g
2026-02-13,sample_0,1.0431527662952789,1.0431527662952789
2026-02-16,sample_0,0.9392449495102865,1.9823977158055652
2026-02-17,sample_0,1.03790975512774,3.0203074709333055
2026-02-18,sample_0,1.03432394874851,4.054631419681815
2026-02-19,sample_0,0.9479614230191221,5.002592842700937
2026-02-20,sample_0,0.6853159952324195,5.687908837933357
2026-02-23,sample_0,0.9004539596828522,6.588362797616209
2026-02-24,sample_0,4.963540179820697,11.551902977436907
2026-02-26,sample_0,2.904553522309167,14.456456499746073
2026-03-03,sample_0,2.6505309769394207,17.106987476685493
2026-03-04,sample_0,4.838426774731823,21.945414251417315
2026-03-11,sample_0,2.336130890812043,24.28154514222936
2026-03-17,sample_0,2.502893199979271,26.78443834220863
2026-03-18,sample_0,2.5221844250401615,29.306622767248793
2026-03-24,sample_0,0.7825187656112349,30.08914153286003
2026-03-25,sample_0,6.633420570555009,36.72256210341504
2026-02-13,sample_5,1.0339013129087422,1.0339013129087422
2026-02-16,sample_5,0.9114582926102502,1.9453596055189926
2026-02-17,sample_5,0.9930624319168783,2.938422037435871
2026-02-18,sample_5,0.9804602785303415,3.9188823159662123
2026-02-19,sample_5,0.9071737653521273,4.82605608131834
2026-02-20,sample_5,0.6530817646266258,5.479137845944965
2026-02-23,sample_5,0.719243200134736,6.198381046079701
2026-02-24,sample_5,4.785387192309686,10.983768238389388
2026-02-26,sample_5,2.3571758636057414,13.34094410199513
2026-03-03,sample_5,2.3168275110638956,15.657771613059024
2026-03-04,sample_5,4.4928933253873655,20.15066493844639
2026-03-11,sample_5,2.2374348302845,22.38809976873089
2026-03-17,sample_5,2.1995122060423897,24.587611974773278
2026-03-18,sample_5,2.233762378348966,26.821374353122245
2026-03-24,sample_5,0.6998104597864955,27.52118481290874
2026-03-25,sample_5,4.844189832875577,32.365374645784314
2026-02-13,sample_10,1.040685712058869,1.040685712058869
2026-02-16,sample_10,0.9515531331035911,1.9922388451624602
2026-02-17,sample_10,1.0428021903871068,3.035041035549567
2026-02-18,sample_10,1.0368503873140902,4.071891422863657
2026-02-19,sample_10,0.9468362462558947,5.018727669119552
2026-02-20,sample_10,0.6840970537389232,5.702824722858475
2026-02-23,sample_10,0.7631459305073327,6.465970653365808
2026-02-24,sample_10,4.991747736176608,11.457718389542416
2026-02-26,sample_10,2.5065951704410017,13.964313559983417
2026-03-03,sample_10,2.4813533577758196,16.445666917759237
2026-03-04,sample_10,4.851366307508939,21.297033225268176
2026-03-11,sample_10,2.416351826708815,23.713385051976992
2026-03-17,sample_10,2.385096048427217,26.098481100404207
2026-03-18,sample_10,2.4063328916411875,28.504813992045396
2026-03-24,sample_10,0.7541940033424884,29.259007995387883
2026-03-25,sample_10,5.213510005182152,34.472518000570034
